Recall,Precision,F1 score,Validation Critic,Anomaly Critic,Val-Anom critic,Critic cost,Critic cost gp,Mean critic cost,Evaluation time,TP,FP,TN,FN
0.015625,0.015625,0.015625,45.430835723877,50.6787643432617,5.24792861938477,-72.4154663085938,-51.4669456481934,45.430835723877,2.34164786338806,1,63,1,63
0.296875,0.296875,0.296875,-21.8970718383789,-20.1693058013916,1.7277660369873,-6.24831199645996,-6.1715579032898,-21.8970718383789,1.57960414886475,19,45,19,45
0.53125,0.53125,0.53125,-17.5553169250488,-18.1682739257813,-0.612957000732422,-4.64168739318848,-4.57460355758667,-17.5553169250488,1.65829491615295,34,30,34,30
1,1,1,-29.884838104248,-36.485050201416,-6.60021209716797,-3.82299613952637,-3.76603126525879,-29.884838104248,1.66618299484253,64,0,64,0
0.1875,0.1875,0.1875,-41.6327896118164,-40.0868911743164,1.5458984375,-4.7441291809082,-3.27995872497559,-41.6327896118164,1.5390830039978,12,52,12,52
0.84375,0.84375,0.84375,-42.0083885192871,-43.3357009887695,-1.32731246948242,-2.5459098815918,-2.48085165023804,-42.0083885192871,1.57872605323792,54,10,54,10
0.265625,0.265625,0.265625,-43.2418060302734,-41.9968185424805,1.24498748779297,-1.77409744262695,-1.75101399421692,-43.2418060302734,1.59458684921265,17,47,17,47
0.390625,0.390625,0.390625,-41.3179321289063,-40.8390464782715,0.478885650634766,-2.1390266418457,-2.06269836425781,-41.3179321289063,1.5071849822998,25,39,25,39
0.453125,0.453125,0.453125,-44.6926574707031,-44.2340774536133,0.458580017089844,-1.64711761474609,-1.59174168109894,-44.6926574707031,1.66466999053955,29,35,29,35
0.078125,0.078125,0.078125,-49.1977691650391,-45.9461135864258,3.25165557861328,-1.4100456237793,-1.38919830322266,-49.1977691650391,1.51297807693481,5,59,5,59
0.0625,0.0625,0.0625,-45.5809860229492,-41.5294494628906,4.05153656005859,-1.34881973266602,-1.32961130142212,-45.5809860229492,1.5573627948761,4,60,4,60
0.96875,0.96875,0.96875,-36.7291488647461,-41.9553756713867,-5.22622680664063,-1.49098968505859,-1.44180488586426,-36.7291488647461,1.55469107627869,62,2,62,2
0.96875,0.96875,0.96875,-39.8961868286133,-43.3111343383789,-3.41494750976562,-1.70226669311523,-1.54714512825012,-39.8961868286133,1.61347389221191,62,2,62,2
0.78125,0.78125,0.78125,-42.2463455200195,-43.0559387207031,-0.809593200683594,-1.42261505126953,-1.08699417114258,-42.2463455200195,1.556391954422,50,14,50,14
0.25,0.25,0.25,-41.904411315918,-40.9891357421875,0.915275573730469,-1.33872604370117,-1.19302463531494,-41.904411315918,1.6761429309845,16,48,16,48
0.390625,0.390625,0.390625,-38.4481201171875,-38.1683044433594,0.279815673828125,-1.22795104980469,-1.13467466831207,-38.4481201171875,1.5487220287323,25,39,25,39
0.046875,0.046875,0.046875,-43.2617340087891,-40.0204467773438,3.24128723144531,-1.08845520019531,-1.02571272850037,-43.2617340087891,1.55277419090271,3,61,3,61
0.0625,0.0625,0.0625,-43.5982131958008,-41.511604309082,2.08660888671875,-1.23176574707031,-0.87545657157898,-43.5982131958008,1.53787684440613,4,60,4,60
0.109375,0.109375,0.109375,-42.9219818115234,-41.1720199584961,1.74996185302734,-1.41655349731445,-1.10571336746216,-42.9219818115234,1.54197907447815,7,57,7,57
0.5625,0.5625,0.5625,-37.1902847290039,-37.4358520507812,-0.245567321777344,-0.850616455078125,-0.792083859443665,-37.1902847290039,1.57634496688843,36,28,36,28
0.09375,0.09375,0.09375,-40.7253112792969,-37.8297424316406,2.89556884765625,-1.08268356323242,-1.0339629650116,-40.7253112792969,1.72720098495483,6,58,6,58
0.03125,0.03125,0.03125,-42.0849761962891,-39.1023178100586,2.98265838623047,-0.899868011474609,-0.81543755531311,-42.0849761962891,1.56640195846558,2,62,2,62
0.21875,0.21875,0.21875,-38.0449523925781,-36.9921951293945,1.05275726318359,-0.840122222900391,-0.819197595119476,-38.0449523925781,1.56737208366394,14,50,14,50
0.125,0.125,0.125,-37.1818923950195,-35.9501647949219,1.23172760009766,-0.850532531738281,-0.818505883216858,-37.1818923950195,1.58457899093628,8,56,8,56
